ID,SHOPCODEAPPROVERSID,SHOPCODEPRIMARYAPPROVER,SHOPCODESECONDARYAPPROVER,SHOPCODETHIRDAPPROVER,MPNID,COUNTRYID,ADDDATE,ADDBY,MODDATE,MODBY,PRIMARYAPPROVERLEAVE,PRIMARYAPPROVERLEAVEFROM,PRIMARYAPPROVERLEAVETO,KITAPPROVER,CAT
5648,6469,6133942,6133942,,6736,,27-AUG-15 00:52:28,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5649,6472,6130803,,,6545,,16-APR-13 07:33:02,1002771,,,,,,,B
5650,6473,6133942,,,6705,,28-JUL-16 02:24:58,1002771,,,,,,,B
5651,6474,6133942,,,6609,,28-JUL-16 02:24:58,1002771,,,,,,,B
5652,6475,6133942,6133942,,6775,,27-AUG-15 00:52:28,1002771,21-JUL-15 10:12:12,6136942,1,22-JUL-15 00:00:00,14-AUG-18 00:00:00,,B
5653,6476,6130803,,,6817,,16-APR-13 07:33:02,1002771,,,,,,,B
5654,6477,6130803,,,6607,,16-APR-13 07:33:02,1002771,,,,,,,B
5655,6479,4208792,254683473,,6556,,20-DEC-16 07:04:55,1002771,19-DEC-16 00:55:48,4208792,1,20-DEC-16 00:00:00,30-DEC-16 00:00:00,,B
5656,6480,6130803,,,6573,,16-APR-13 07:33:02,1002771,,,,,,,B
5657,6482,3142369,,,6648,,18-JUN-15 00:24:09,1002771,14-OCT-13 18:27:11,1002771,,,,,B
5658,6483,6133942,,,6595,,28-JUL-16 02:21:19,1002771,,,,,,,B
5659,6484,6133942,,,6596,,28-JUL-16 02:21:28,1002771,,,,,,,B
5660,6485,6133942,,,6594,,28-JUL-16 02:20:47,1002771,,,,,,,B
